run_id,model_name,run_file,family,label_regime,policy,qwk_window,trace_status,candidate_epoch_zero_based,candidate_epoch_display,is_current_selected_epoch,checkpoint_status,checkpoint_path,epoch,val_loss,calibration_global,qwk_mean,recall_minus1,hedging_mean,eligible,ineligible_reasons,delta_qwk_mean,delta_recall_minus1,delta_hedging_mean,delta_calibration_global,delta_val_loss,val_hedonism_qwk,val_security_qwk,val_stimulation_qwk,test_qwk_mean,test_recall_minus1,test_minority_recall_mean,test_hedging_mean,test_calibration_global,test_hedonism_qwk,test_security_qwk,test_stimulation_qwk
run_019,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_019_BalancedSoftmax.yaml,incumbent_balanced_softmax,persisted,current_qwk_then_recall,,missing,,,,trace_missing,,,,,,,,,,,,,,,,,,,,,,,,,
run_019,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_019_BalancedSoftmax.yaml,incumbent_balanced_softmax,persisted,recall_qwk_window_0.01,0.01,missing,,,,trace_missing,,,,,,,,,,,,,,,,,,,,,,,,,
run_019,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_019_BalancedSoftmax.yaml,incumbent_balanced_softmax,persisted,recall_qwk_window_0.02,0.02,missing,,,,trace_missing,,,,,,,,,,,,,,,,,,,,,,,,,
run_020,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_020_BalancedSoftmax.yaml,incumbent_balanced_softmax,persisted,current_qwk_then_recall,,missing,,,,trace_missing,,,,,,,,,,,,,,,,,,,,,,,,,
run_020,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_020_BalancedSoftmax.yaml,incumbent_balanced_softmax,persisted,recall_qwk_window_0.01,0.01,missing,,,,trace_missing,,,,,,,,,,,,,,,,,,,,,,,,,
run_020,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_020_BalancedSoftmax.yaml,incumbent_balanced_softmax,persisted,recall_qwk_window_0.02,0.02,missing,,,,trace_missing,,,,,,,,,,,,,,,,,,,,,,,,,
run_021,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_021_BalancedSoftmax.yaml,incumbent_balanced_softmax,persisted,current_qwk_then_recall,,missing,,,,trace_missing,,,,,,,,,,,,,,,,,,,,,,,,,
run_021,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_021_BalancedSoftmax.yaml,incumbent_balanced_softmax,persisted,recall_qwk_window_0.01,0.01,missing,,,,trace_missing,,,,,,,,,,,,,,,,,,,,,,,,,
run_021,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_021_BalancedSoftmax.yaml,incumbent_balanced_softmax,persisted,recall_qwk_window_0.02,0.02,missing,,,,trace_missing,,,,,,,,,,,,,,,,,,,,,,,,,
run_034,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_034_BalancedSoftmax.yaml,weighted_balanced_softmax,persisted,current_qwk_then_recall,,available,26,27,true,selected_checkpoint_test_outputs_available,/Users/desmondchoy/Projects/twinkl/logs/experiments/artifacts/ordinal_v4_s2025_m11_20260311_125001/BalancedSoftmax/selected_checkpoint.pt,,0.48049970290490557,0.7198601843083009,0.40125535095738263,0.4615126565936709,0.5986175115207373,true,"",0.0,0.0,0.0,0.0,0.0,0.3710144927536233,0.45982452560701903,0.5535946297098311,0.3419,0.2985,0.4122,0.6267,0.7398,0.0665,0.2216,0.2275
run_034,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_034_BalancedSoftmax.yaml,weighted_balanced_softmax,persisted,recall_qwk_window_0.01,0.01,available,20,21,false,alternate_checkpoint_not_serialized,,,0.4739700236490795,0.6469027971215614,0.3997210697088435,0.4914561681521155,0.594930875576037,true,"",-0.0015342812485391044,0.029943511558444602,-0.0036866359447003116,-0.0729573871867395,-0.006529679255826093,0.33032744178590034,0.454229709768853,0.5955736750145603,,,,,,,,
run_034,BalancedSoftmax,/Users/desmondchoy/Projects/twinkl/logs/experiments/runs/run_034_BalancedSoftmax.yaml,weighted_balanced_softmax,persisted,recall_qwk_window_0.02,0.02,available,31,32,false,alternate_checkpoint_not_serialized,,,0.4992667245013373,0.7061864026581552,0.3854599643539854,0.5358266916600865,0.6055299539170507,true,"",-0.015795386603397243,0.07431403506641554,0.00691244239631339,-0.013673781650145655,0.018767021596431732,0.4841876808598594,0.3874049945711183,0.5370016844469399,,,,,,,,
