run,core_value,personas,entry_value_decisions,before,after,delta
1,self_direction,24,189,2,2,0
1,stimulation,24,187,0,0,0
1,hedonism,33,260,3,3,0
1,achievement,25,227,0,0,0
1,power,37,306,1,1,0
1,security,36,279,3,2,-1
1,conformity,28,214,4,2,-2
1,tradition,28,255,1,0,-1
1,benevolence,25,204,1,2,1
1,universalism,32,256,7,7,0
2,self_direction,24,189,2,2,0
2,stimulation,24,187,0,0,0
2,hedonism,33,260,3,2,-1
2,achievement,25,227,0,0,0
2,power,37,306,2,2,0
2,security,36,279,2,3,1
2,conformity,28,214,2,2,0
2,tradition,28,255,0,0,0
2,benevolence,25,204,2,1,-1
2,universalism,32,256,9,9,0
3,self_direction,24,189,2,2,0
3,stimulation,24,187,0,0,0
3,hedonism,33,260,3,2,-1
3,achievement,25,227,0,0,0
3,power,37,306,1,3,2
3,security,36,279,3,2,-1
3,conformity,28,214,3,1,-2
3,tradition,28,255,0,0,0
3,benevolence,25,204,1,2,1
3,universalism,32,256,8,6,-2
