comparison,dimension,source_label,n_cases,flip_count,band
full_context_vs_profile_only,hedonism,-1,3,0,low
full_context_vs_profile_only,hedonism,0,6,2,ambiguous
full_context_vs_profile_only,hedonism,1,5,1,low
full_context_vs_profile_only,security,-1,2,0,low
full_context_vs_profile_only,security,0,9,0,low
full_context_vs_profile_only,security,1,3,1,low
full_context_vs_profile_only,self_direction,0,1,1,low
full_context_vs_profile_only,self_direction,1,3,1,low
full_context_vs_profile_only,stimulation,-1,5,0,low
full_context_vs_profile_only,stimulation,0,7,1,low
full_context_vs_profile_only,stimulation,1,2,1,low
full_context_vs_profile_only,universalism,-1,2,1,low
full_context_vs_profile_only,universalism,1,2,0,low
persisted_vs_full_context,hedonism,-1,5,2,ambiguous
persisted_vs_full_context,hedonism,0,1,0,low
persisted_vs_full_context,hedonism,1,8,4,substantive
persisted_vs_full_context,security,-1,2,1,low
persisted_vs_full_context,security,1,12,9,substantive
persisted_vs_full_context,self_direction,1,4,1,low
persisted_vs_full_context,stimulation,-1,7,2,ambiguous
persisted_vs_full_context,stimulation,0,3,0,low
persisted_vs_full_context,stimulation,1,4,3,ambiguous
persisted_vs_full_context,universalism,-1,1,0,low
persisted_vs_full_context,universalism,1,3,1,low
profile_only_vs_student_visible,hedonism,-1,4,0,low
profile_only_vs_student_visible,hedonism,0,4,0,low
profile_only_vs_student_visible,hedonism,1,6,0,low
profile_only_vs_student_visible,security,-1,2,0,low
profile_only_vs_student_visible,security,0,10,2,ambiguous
profile_only_vs_student_visible,security,1,2,0,low
profile_only_vs_student_visible,self_direction,0,1,1,low
profile_only_vs_student_visible,self_direction,1,3,0,low
profile_only_vs_student_visible,stimulation,-1,7,2,ambiguous
profile_only_vs_student_visible,stimulation,0,6,0,low
profile_only_vs_student_visible,stimulation,1,1,1,low
profile_only_vs_student_visible,universalism,-1,1,1,low
profile_only_vs_student_visible,universalism,1,3,1,low
