dimension,confidence_tier,n_entries,n_non_neutral
achievement,bare_majority,143,65
achievement,strong,167,73
achievement,unanimous,1341,357
benevolence,bare_majority,170,87
benevolence,no_majority,1,0
benevolence,strong,171,65
benevolence,unanimous,1309,386
conformity,bare_majority,118,66
conformity,no_majority,2,0
conformity,strong,165,66
conformity,unanimous,1366,257
hedonism,bare_majority,100,46
hedonism,strong,132,49
hedonism,unanimous,1419,221
power,bare_majority,100,56
power,strong,90,32
power,unanimous,1461,170
security,bare_majority,128,75
security,no_majority,1,0
security,strong,197,81
security,unanimous,1325,276
self_direction,bare_majority,171,82
self_direction,no_majority,2,0
self_direction,strong,202,64
self_direction,unanimous,1276,370
stimulation,bare_majority,46,29
stimulation,strong,75,23
stimulation,unanimous,1530,111
tradition,bare_majority,71,40
tradition,no_majority,1,0
tradition,strong,105,41
tradition,unanimous,1474,175
universalism,bare_majority,40,26
universalism,strong,38,17
universalism,unanimous,1573,157
