dimension,n_entries_point,n_entries_ci_lo,n_entries_ci_hi,n_non_neutral_entries_point,n_non_neutral_entries_ci_lo,n_non_neutral_entries_ci_hi,non_unanimous_rate_all_point,non_unanimous_rate_all_ci_lo,non_unanimous_rate_all_ci_hi,mean_vote_entropy_all_point,mean_vote_entropy_all_ci_lo,mean_vote_entropy_all_ci_hi,polarity_flip_rate_all_point,polarity_flip_rate_all_ci_lo,polarity_flip_rate_all_ci_hi,low_confidence_non_neutral_ratio_point,low_confidence_non_neutral_ratio_ci_lo,low_confidence_non_neutral_ratio_ci_hi,non_unanimous_rate_non_neutral_point,non_unanimous_rate_non_neutral_ci_lo,non_unanimous_rate_non_neutral_ci_hi,mean_vote_entropy_non_neutral_point,mean_vote_entropy_non_neutral_ci_lo,mean_vote_entropy_non_neutral_ci_hi,polarity_flip_rate_non_neutral_point,polarity_flip_rate_non_neutral_ci_lo,polarity_flip_rate_non_neutral_ci_hi,difficulty_rank
power,1651.0,1571.0,1726.0,258.0,188.975,332.0,0.11508176862507571,0.0926217104757808,0.1375034257003654,0.10043583615127932,0.07993922493089087,0.12100260782954367,0.019382192610539067,0.011042775518801744,0.02857142857142857,0.21705426356589147,0.1572538159683599,0.28461743772241993,0.34108527131782945,0.27413903469466133,0.4130520369736391,0.31172833266003774,0.24878219136114743,0.38238089881208626,0.11627906976744186,0.07423176451560731,0.1607717041800643,1
security,1651.0,1571.0,1726.0,432.0,365.975,500.0,0.19745608721986674,0.17274939172749393,0.22195886589553254,0.16455261743137095,0.14347693579142617,0.1856262191828386,0.023622047244094488,0.015159688022889183,0.0333555751758918,0.1736111111111111,0.13087839000057339,0.21849396008403357,0.3611111111111111,0.29999427917620136,0.42067387114537447,0.3096074138223948,0.2548870936551048,0.3628720217523936,0.08101851851851852,0.05161250693508758,0.1132900286551402,2
conformity,1651.0,1571.0,1726.0,389.0,335.0,444.0,0.17262265293761356,0.1499120582517053,0.1951361825108376,0.14617690611361064,0.12632211590057682,0.16552055209615568,0.008479709267110842,0.004105451590569795,0.013538669950738916,0.16966580976863754,0.13097941350250333,0.2123729073091057,0.3393316195372751,0.28089171061683105,0.40053912449931733,0.29803060025271155,0.24722513199037183,0.35323495768559804,0.028277634961439587,0.010749122957131856,0.048159493498071596,3
stimulation,1651.0,1571.0,1726.0,163.0,113.0,219.0,0.07328891580860085,0.055681232276359884,0.09249254297061682,0.06090812353840074,0.04629560162619583,0.0773890853543118,0.004845548152634767,0.0011968880909634949,0.009883864672538116,0.17791411042944785,0.11176470588235295,0.2549052506908803,0.31901840490797545,0.23975279106858052,0.4066724137931034,0.28044718357072035,0.20731277299685133,0.36358116013466013,0.03680981595092025,0.006287354974803704,0.07692307692307693,4
tradition,1651.0,1571.0,1726.0,256.0,198.0,324.0,0.10720775287704422,0.08883427202656764,0.12622742498286868,0.08949959131750894,0.07338345916743391,0.10609756155977669,0.009085402786190187,0.004191491419075724,0.015051306185069387,0.15625,0.1098000515995872,0.21186779661016947,0.31640625,0.24588962949618687,0.4009014198530328,0.2716368385524765,0.21240728518730978,0.3431563595889439,0.05078125,0.025748321778364697,0.08154923932466054,5
hedonism,1651.0,1571.0,1726.0,316.0,257.0,382.02499999999986,0.14052089642640825,0.12169529147613076,0.16236281085572954,0.11710511536706927,0.101215811380592,0.13538578316976366,0.005451241671714113,0.0018597160884367939,0.009956595560673609,0.14556962025316456,0.10382444490558207,0.19260536398467426,0.30063291139240506,0.24056521739130435,0.36993590742616683,0.2562948781481905,0.20564045297381361,0.31720500527155754,0.028481012658227847,0.011449293240066178,0.04813252005347591,6
self_direction,1651.0,1571.0,1726.0,516.0,449.975,584.0,0.2271350696547547,0.20120818785389943,0.2557485979366402,0.19361645700238264,0.17088011679642182,0.21912762499913116,0.014536644457904301,0.008965661828335907,0.020759456039930693,0.15891472868217055,0.12328323323175241,0.19918002538230972,0.28294573643410853,0.23613143454402927,0.3340940841669541,0.25072913627953,0.2079099739105209,0.2982432778219418,0.03682170542635659,0.021456934815303915,0.0546147077892007,7
benevolence,1651.0,1571.0,1726.0,538.0,471.975,603.0249999999999,0.20714718352513628,0.18469957265729464,0.2317448015361681,0.17894436304036992,0.15926546610931025,0.20115515469533457,0.015748031496062992,0.00964378413703638,0.02274159119894825,0.16171003717472118,0.1243232907860059,0.20258313624481744,0.2825278810408922,0.24220312559412904,0.33000335892514393,0.24907423399064219,0.21043276023612756,0.29247489862491177,0.03345724907063197,0.018691588785046728,0.05010174069822492,8
achievement,1651.0,1571.0,1726.0,495.0,423.975,573.0,0.18776499091459722,0.16512587742786233,0.21193430840582292,0.1605777055456107,0.14104663776468868,0.1812070094208171,0.010902483343428226,0.0058823529411764705,0.016706480836031098,0.13131313131313133,0.09999060150375941,0.16886038011695906,0.2787878787878788,0.2318241171115051,0.32845365686358563,0.24306748397763042,0.2005123659951037,0.2881572331455795,0.030303030303030304,0.016091261598116604,0.046154618473895584,9
universalism,1651.0,1571.0,1726.0,200.0,136.975,268.02499999999986,0.047244094488188976,0.03306645710341565,0.06301777662027838,0.040716092601053425,0.028243309215357747,0.054491152993443405,0.0060569351907934586,0.001217989751978923,0.01220312194656232,0.13,0.06874495967741936,0.20833827014218007,0.215,0.13499578651685396,0.3101891762452107,0.1923423528466962,0.11970620071062184,0.2780833402775488,0.05,0.011297848028946867,0.09375,10
