dimension,confidence_tier,n_entries,n_non_neutral
achievement,bare_majority,5,4
achievement,strong,3,0
achievement,unanimous,42,9
benevolence,bare_majority,4,2
benevolence,strong,4,3
benevolence,unanimous,42,12
conformity,bare_majority,3,1
conformity,strong,4,2
conformity,unanimous,43,11
hedonism,bare_majority,4,2
hedonism,strong,4,2
hedonism,unanimous,42,11
power,bare_majority,1,0
power,unanimous,49,2
security,bare_majority,5,2
security,strong,4,2
security,unanimous,41,22
self_direction,bare_majority,5,3
self_direction,strong,7,5
self_direction,unanimous,38,11
stimulation,bare_majority,1,0
stimulation,strong,4,2
stimulation,unanimous,45,11
tradition,bare_majority,3,0
tradition,unanimous,47,4
universalism,unanimous,50,2
