dimension,persisted_label,consensus_label,n_entries
achievement,0,0,34
achievement,0,1,2
achievement,1,-1,1
achievement,1,0,3
achievement,1,1,10
benevolence,-1,-1,2
benevolence,-1,0,2
benevolence,0,0,29
benevolence,0,1,3
benevolence,1,0,2
benevolence,1,1,12
conformity,-1,-1,6
conformity,-1,0,2
conformity,0,0,34
conformity,1,1,8
hedonism,-1,-1,8
hedonism,-1,0,1
hedonism,0,0,32
hedonism,1,-1,1
hedonism,1,0,2
hedonism,1,1,6
power,-1,-1,1
power,-1,0,1
power,0,0,47
power,1,1,1
security,-1,-1,11
security,-1,0,2
security,0,0,20
security,1,0,2
security,1,1,15
self_direction,-1,-1,3
self_direction,-1,1,1
self_direction,0,-1,1
self_direction,0,0,29
self_direction,0,1,2
self_direction,1,0,2
self_direction,1,1,12
stimulation,-1,-1,5
stimulation,-1,0,2
stimulation,0,0,32
stimulation,1,0,3
stimulation,1,1,8
tradition,-1,0,1
tradition,0,0,41
tradition,1,0,4
tradition,1,1,4
universalism,0,0,48
universalism,1,1,2
