metric,dimension,value,reference
fleiss_kappa,self_direction,0.774,
consensus_vs_persisted_cohen_kappa,self_direction,0.766,
consensus_vs_human_cohen_kappa,self_direction,0.412,0.438
persisted_vs_human_cohen_kappa,self_direction,0.438,
fleiss_kappa,stimulation,0.897,0.58
consensus_vs_persisted_cohen_kappa,stimulation,0.79,
consensus_vs_human_cohen_kappa,stimulation,0.747,0.893
persisted_vs_human_cohen_kappa,stimulation,0.893,
fleiss_kappa,hedonism,0.829,0.64
consensus_vs_persisted_cohen_kappa,hedonism,0.839,
consensus_vs_human_cohen_kappa,hedonism,0.522,0.522
persisted_vs_human_cohen_kappa,hedonism,0.522,
fleiss_kappa,achievement,0.765,
consensus_vs_persisted_cohen_kappa,achievement,0.7,
consensus_vs_human_cohen_kappa,achievement,0.759,0.774
persisted_vs_human_cohen_kappa,achievement,0.774,
fleiss_kappa,power,0.87,
consensus_vs_persisted_cohen_kappa,power,0.793,
consensus_vs_human_cohen_kappa,power,1.0,1.0
persisted_vs_human_cohen_kappa,power,1.0,
fleiss_kappa,security,0.855,0.48
consensus_vs_persisted_cohen_kappa,security,0.877,
consensus_vs_human_cohen_kappa,security,0.534,0.513
persisted_vs_human_cohen_kappa,security,0.513,
fleiss_kappa,conformity,0.849,
consensus_vs_persisted_cohen_kappa,conformity,0.914,
consensus_vs_human_cohen_kappa,conformity,0.356,0.293
persisted_vs_human_cohen_kappa,conformity,0.293,
fleiss_kappa,tradition,0.807,
consensus_vs_persisted_cohen_kappa,tradition,0.57,
consensus_vs_human_cohen_kappa,tradition,0.352,0.581
persisted_vs_human_cohen_kappa,tradition,0.581,
fleiss_kappa,benevolence,0.829,
consensus_vs_persisted_cohen_kappa,benevolence,0.715,
consensus_vs_human_cohen_kappa,benevolence,1.0,0.883
persisted_vs_human_cohen_kappa,benevolence,0.883,
fleiss_kappa,universalism,1.0,
consensus_vs_persisted_cohen_kappa,universalism,1.0,
consensus_vs_human_cohen_kappa,universalism,1.0,1.0
persisted_vs_human_cohen_kappa,universalism,1.0,
fleiss_kappa,aggregate,0.848,
consensus_vs_persisted_cohen_kappa,aggregate,0.813,
consensus_vs_human_cohen_kappa,aggregate,0.636,0.651
persisted_vs_human_cohen_kappa,aggregate,0.651,
fleiss_n_shared,aggregate,50.0,
