entry_id,persona_id,t_index,date,rationale_source_pass,rationale_match_count,rationale_mismatch_count,selected_rationales_json,persisted_alignment_self_direction,consensus_alignment_self_direction,confidence_self_direction,consensus_agreement_self_direction,label_changed_self_direction,pass_1_alignment_self_direction,pass_2_alignment_self_direction,pass_3_alignment_self_direction,pass_4_alignment_self_direction,pass_5_alignment_self_direction,persisted_alignment_stimulation,consensus_alignment_stimulation,confidence_stimulation,consensus_agreement_stimulation,label_changed_stimulation,pass_1_alignment_stimulation,pass_2_alignment_stimulation,pass_3_alignment_stimulation,pass_4_alignment_stimulation,pass_5_alignment_stimulation,persisted_alignment_hedonism,consensus_alignment_hedonism,confidence_hedonism,consensus_agreement_hedonism,label_changed_hedonism,pass_1_alignment_hedonism,pass_2_alignment_hedonism,pass_3_alignment_hedonism,pass_4_alignment_hedonism,pass_5_alignment_hedonism,persisted_alignment_achievement,consensus_alignment_achievement,confidence_achievement,consensus_agreement_achievement,label_changed_achievement,pass_1_alignment_achievement,pass_2_alignment_achievement,pass_3_alignment_achievement,pass_4_alignment_achievement,pass_5_alignment_achievement,persisted_alignment_power,consensus_alignment_power,confidence_power,consensus_agreement_power,label_changed_power,pass_1_alignment_power,pass_2_alignment_power,pass_3_alignment_power,pass_4_alignment_power,pass_5_alignment_power,persisted_alignment_security,consensus_alignment_security,confidence_security,consensus_agreement_security,label_changed_security,pass_1_alignment_security,pass_2_alignment_security,pass_3_alignment_security,pass_4_alignment_security,pass_5_alignment_security,persisted_alignment_conformity,consensus_alignment_conformity,confidence_conformity,consensus_agreement_conformity,label_changed_conformity,pass_1_alignment_conformity,pass_2_alignment_conformity,pass_3_alignment_conformity,pass_4_alignment_conformity,pass_5_alignment_conformity,persisted_alignment_tradition,consensus_alignment_tradition,confidence_tradition,consensus_agreement_tradition,label_changed_tradition,pass_1_alignment_tradition,pass_2_alignment_tradition,pass_3_alignment_tradition,pass_4_alignment_tradition,pass_5_alignment_tradition,persisted_alignment_benevolence,consensus_alignment_benevolence,confidence_benevolence,consensus_agreement_benevolence,label_changed_benevolence,pass_1_alignment_benevolence,pass_2_alignment_benevolence,pass_3_alignment_benevolence,pass_4_alignment_benevolence,pass_5_alignment_benevolence,persisted_alignment_universalism,consensus_alignment_universalism,confidence_universalism,consensus_agreement_universalism,label_changed_universalism,pass_1_alignment_universalism,pass_2_alignment_universalism,pass_3_alignment_universalism,pass_4_alignment_universalism,pass_5_alignment_universalism,pass_1_rationales_json,pass_2_rationales_json,pass_3_rationales_json,pass_4_rationales_json,pass_5_rationales_json
013d8101__0,013d8101,0,2025-12-01,1,10,0,"{""security"": ""She keeps \""running through the talking points\"" and wants \""every answer ready,\"" showing a strong drive to reduce uncertainty before the conferences."", ""conformity"": ""She is focused on not \""stumble in front of someone asking about their child,\"" which shows careful self-monitoring to meet others' expectations appropriately.""}",0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,1,unanimous,5,false,1,1,1,1,1,1,1,unanimous,5,false,1,1,1,1,1,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,"{""security"": ""She keeps \""running through the talking points\"" and wants \""every answer ready,\"" showing a strong drive to reduce uncertainty before the conferences."", ""conformity"": ""She is focused on not \""stumble in front of someone asking about their child,\"" which shows careful self-monitoring to meet others' expectations appropriately.""}","{""security"": ""She keeps rehearsing for parent-teacher conferences and says she would rather have \""every answer ready\"" than be caught unprepared, showing a strong need for predictability and protection from downside."", ""conformity"": ""Her worry about \""stumble[ing] in front of someone asking about their child\"" shows careful self-monitoring to meet others' expectations and avoid social disapproval.""}","{""security"": ""She keeps 'running through the talking points' and wants 'every answer ready,' showing a strong push to reduce uncertainty before the conferences."", ""conformity"": ""She is focused on not 'stumble[ing] in front of someone asking about their child,' which reflects careful effort to meet expected professional and social standards.""}","{""security"": ""She keeps \""running through the talking points\"" and wants \""every answer ready,\"" showing a strong push to reduce uncertainty and avoid being unprepared."", ""conformity"": ""Wanting to avoid \""stumble[ing] in front of someone asking about their child\"" reflects careful self-monitoring to meet parents' expectations and avoid social disapproval.""}","{""security"": ""She keeps rehearsing for parent conferences and says she would rather have \""every answer ready\"" than risk stumbling, showing a strong need for predictability and protection from uncertainty."", ""conformity"": ""Her over-preparation is tied to meeting professional expectations in front of parents and avoiding the embarrassment of not handling the interaction properly.""}"
013d8101__2,013d8101,2,2025-12-20,1,10,0,"{""stimulation"": ""She resists the move to Berlin by focusing on why they should not go and says she does not know what she can \""actually handle risking,\"" rejecting novelty and uncertainty."", ""security"": ""She emphasizes the \""rent-controlled\"" flat, her job, savings, and being near her parents, and says she sees \""all the things that could collapse,\"" clearly prioritizing stability and protection.""}",0,0,unanimous,5,false,0,0,0,0,0,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,1,unanimous,5,false,1,1,1,1,1,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,"{""stimulation"": ""She resists the move to Berlin by focusing on why they should not go and says she does not know what she can \""actually handle risking,\"" rejecting novelty and uncertainty."", ""security"": ""She emphasizes the \""rent-controlled\"" flat, her job, savings, and being near her parents, and says she sees \""all the things that could collapse,\"" clearly prioritizing stability and protection.""}","{""stimulation"": ""She resists the move because \""my stomach keeps tightening\"" and focuses on why Berlin would be hard, rejecting the uncertainty and novelty her partner finds appealing."", ""security"": ""She emphasizes the rent-controlled flat, savings, nearby parents, and wanting \""a guarantee,\"" which shows a strong preference for stability over a risky new opportunity.""}","{""stimulation"": ""She resists the move to Berlin because of the uncertainty around language, work, and housing, and says she does not know what she can 'actually handle risking.'"", ""security"": ""She emphasizes the 'rent-controlled' flat, her job, savings, and being near her parents, and says she has 'built everything carefully here,' showing a strong preference for stability and protection from loss.""}","{""stimulation"": ""She rejects the move by focusing on why \""my job does not transfer\"" and \""we do not speak German well enough,\"" treating novelty and change as something to avoid rather than embrace."", ""security"": ""She wants \""a guarantee\"" and emphasizes the \""job, the savings, being close to my parents,\"" showing a strong preference for stability over opportunity.""}","{""stimulation"": ""She recoils from the move because of the unfamiliarity, listing risks like not speaking German well and focusing on what could \""collapse\"" rather than embracing a new environment."", ""security"": ""She centers rent control, savings, being near her parents, and wanting \""a guarantee,\"" which shows a strong preference for stability over opportunity.""}"
019235dc__5,019235dc,5,2025-02-01,1,10,0,"{""benevolence"": ""She orders groceries for her mother, sets up meal prep for Tyler, and adds reminders for appointments, taking concrete steps to support the people closest to her.""}",0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,0,bare_majority,3,true,0,1,0,1,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,1,unanimous,5,false,1,1,1,1,1,0,0,unanimous,5,false,0,0,0,0,0,"{""benevolence"": ""She orders groceries for her mother, sets up meal prep for Tyler, and adds reminders for appointments, taking concrete steps to support the people closest to her.""}","{""security"": ""She sets up grocery delivery, meal prep, and recurring appointment reminders, actively creating a more stable and protected situation for her family during recovery."", ""benevolence"": ""She organizes practical support for her mother and Tyler and says \""I won't miss another one,\"" showing sustained care for the needs of close family members.""}","{""benevolence"": ""She ordered groceries for her mother, set up meal prep for Tyler, and added reminders for appointments, all concrete acts of caring for close family members.""}","{""security"": ""She puts concrete supports in place by ordering groceries, arranging meal prep, and setting \""a recurring reminder\"" for appointments, all aimed at keeping her family situation stable and covered."", ""benevolence"": ""She organizes food and appointment reminders for Mom and Tyler and says \""I won't miss another one,\"" showing active care for the wellbeing of close family members.""}","{""benevolence"": ""She actively supports close family by ordering groceries for her mother, setting up meal prep for Tyler, and creating reminders so she \""won't miss another\"" appointment.""}"
019235dc__9,019235dc,9,2025-02-09,1,10,0,"{""hedonism"": ""She describes \""dark circles,\"" missed appointments, and eating meals \""standing up in a break room,\"" then admits she knows she should \""take a day off\"" but does not, showing ongoing self-denial and neglect of enjoyment."", ""benevolence"": ""She immediately tells Tyler she will \""help him look at programs\"" and wants him to have meaningful work without the costs she has paid, showing active care for his future.""}",0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1,1,0,unanimous,5,true,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,1,unanimous,5,false,1,1,1,1,1,0,0,unanimous,5,false,0,0,0,0,0,"{""hedonism"": ""She describes \""dark circles,\"" missed appointments, and eating meals \""standing up in a break room,\"" then admits she knows she should \""take a day off\"" but does not, showing ongoing self-denial and neglect of enjoyment."", ""benevolence"": ""She immediately tells Tyler she will \""help him look at programs\"" and wants him to have meaningful work without the costs she has paid, showing active care for his future.""}","{""hedonism"": ""She describes \""dark circles,\"" missed appointments, eating meals standing up, and advises Tyler to \""take a day off without feeling guilty,\"" showing a pattern of neglecting rest and present wellbeing."", ""benevolence"": ""She tells Tyler she will \""help him look at programs\"" and wants him to keep \""being there for your people,\"" which centers support and care for someone close to her.""}","{""hedonism"": ""She describes 'dark circles,' 'missed appointments,' and eating meals 'standing up in a break room,' then admits these are 'everything I know I should do but don't,' showing ongoing self-denial and neglect of rest."", ""benevolence"": ""She tells Tyler she will 'help him look at programs' and wants him to pursue meaningful work 'without grinding himself down,' showing active care for his future and wellbeing.""}","{""hedonism"": ""She describes \""dark circles,\"" \""missed appointments,\"" eating meals \""standing up in a break room,\"" and not taking \""a day off without feeling guilty,\"" which shows ongoing self-denial rather than present enjoyment."", ""benevolence"": ""She tells Tyler \""I'd help him look at programs\"" and wants him to keep \""being there for your people,\"" showing strong support for someone close to her.""}","{""hedonism"": ""She describes a pattern of self-denial through \""missed appointments,\"" eating meals standing up, and not taking \""a day off without feeling guilty,\"" then admits she knows she should do better but doesn't."", ""benevolence"": ""She immediately supports Tyler's goal by telling him it was \""a great idea\"" and offering to help him look at programs, while also wanting him to protect his wellbeing.""}"
01b6f22a__5,01b6f22a,5,2025-04-04,2,10,0,"{""achievement"": ""He takes pride in having built the team \""from twelve people to forty-two\"" and in owning the processes and KPI framework, showing strong investment in competence and performance."", ""power"": ""The meeting slight and possible merger matter because of status and control; \""those are mine\"" shows attachment to authority over his division and how it is positioned."", ""security"": ""He checks LinkedIn so he will not be \""caught off guard,\"" treating career uncertainty as a threat and preparing defensively for stability.""}",0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,1,bare_majority,3,true,0,1,1,1,0,1,1,unanimous,5,false,1,1,1,1,1,1,1,unanimous,5,false,1,1,1,1,1,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,"{""power"": ""He reacts strongly to signs of being bypassed in the org chart and says of the team, processes, and vendor relationships, \""those are mine,\"" showing concern with status, control, and authority."", ""security"": ""He starts checking LinkedIn because he does not want to be \""caught off guard,\"" using contingency planning to protect himself against restructuring risk.""}","{""achievement"": ""He takes pride in having built the team \""from twelve people to forty-two\"" and in owning the processes and KPI framework, showing strong investment in competence and performance."", ""power"": ""The meeting slight and possible merger matter because of status and control; \""those are mine\"" shows attachment to authority over his division and how it is positioned."", ""security"": ""He checks LinkedIn so he will not be \""caught off guard,\"" treating career uncertainty as a threat and preparing defensively for stability.""}","{""achievement"": ""He frames the division in terms of what he has built: 'the processes, the KPI framework, the vendor relationships,' showing strong identification with performance and accomplishment at work."", ""power"": ""He reacts to being left out of the 'division alignment' meeting as a signal of 'how someone sees the org chart,' and stresses that the team and systems are 'mine,' showing concern with authority and control."", ""security"": ""He checks LinkedIn so he will not be 'caught off guard' and wants to know what is out there 'in case I need to move fast,' which is a clear attempt to protect himself against instability.""}","{""achievement"": ""He takes pride in having built the team \""from twelve people to forty-two\"" and in the \""processes\"" and \""KPI framework,\"" signaling a strong investment in competence and accomplishment."", ""power"": ""He reacts to the org-chart slight and says the team, vendor relationships, and operating framework \""are mine,\"" showing concern with control, authority, and organizational standing."", ""security"": ""He checks LinkedIn so he will not be \""caught off guard\"" and wants to know what's out there \""in case I need to move fast,\"" which is a protective move against possible instability.""}","{""power"": ""He reads the unsignaled meeting and restructuring rumors through status and control, emphasizing that the team, processes, and vendor relationships are \""mine.\"""", ""security"": ""He starts checking LinkedIn and says he wants to know what's out there \""in case I need to move fast\"" because he refuses to be \""caught off guard,\"" showing precaution against instability.""}"
056f46ad__0,056f46ad,0,2025-12-01,2,10,0,"{""hedonism"": ""He and Nadia would rather have gone to \""that new seafood place\"" and he has already made the reservation, explicitly carving out a pleasurable experience for them."", ""conformity"": ""He says there is \""something calming about fitting into the role everyone expects\"" and he does not want to be \""the source of that look\"" of family disappointment."", ""tradition"": ""He spends the day supporting his parents' 40th anniversary, enduring the formal toasts and family expectations to honor an important family ritual."", ""benevolence"": ""He spends most of the afternoon helping his parents coordinate the event and rearranges everything to make the celebration go smoothly for them.""}",0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,1,bare_majority,3,false,0,1,0,1,1,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,1,unanimous,5,false,1,1,1,1,1,1,1,unanimous,5,false,1,1,1,1,1,1,1,unanimous,5,false,1,1,1,1,1,0,0,unanimous,5,false,0,0,0,0,0,"{""conformity"": ""He says there is \""something calming about fitting into the role everyone expects\"" and does not want to be the source of his mother's disappointment, showing restraint to meet family expectations."", ""tradition"": ""He spends the day helping stage his parents' 40th anniversary and sits through the formal toasts and family rituals, actively honoring established family customs."", ""benevolence"": ""He spends hours coordinating the celebration for his parents and rearranges everything to make the event go well for the family.""}","{""hedonism"": ""He and Nadia would rather have gone to \""that new seafood place\"" and he has already made the reservation, explicitly carving out a pleasurable experience for them."", ""conformity"": ""He says there is \""something calming about fitting into the role everyone expects\"" and he does not want to be \""the source of that look\"" of family disappointment."", ""tradition"": ""He spends the day supporting his parents' 40th anniversary, enduring the formal toasts and family expectations to honor an important family ritual."", ""benevolence"": ""He spends most of the afternoon helping his parents coordinate the event and rearranges everything to make the celebration go smoothly for them.""}","{""conformity"": ""He says there is 'something calming about fitting into the role everyone expects' and works to avoid being 'the source' of his mother's disappointment, showing active restraint to meet social expectations."", ""tradition"": ""He devotes the day to his parents' 40th anniversary, manages family seating around past Eid tensions, and sits through the elders' formal toasts, all of which support established family customs and continuity."", ""benevolence"": ""He spends hours helping coordinate the celebration and rearranges the dining room twice for his mother, showing practical support for close family members.""}","{""hedonism"": ""He explicitly values \""the things that make life sweet\"" and has already reserved \""that new seafood place on the Palm\"" for a pleasurable evening with Nadia."", ""conformity"": ""He says there is \""something calming about fitting into the role everyone expects\"" and does not want to be \""the source of that look\"" of family disappointment, showing clear alignment with meeting expectations."", ""tradition"": ""He spends the day supporting his parents' 40th anniversary, sits through the elders' \""formal toasts,\"" and treats the family ritual as meaningful rather than burdensome."", ""benevolence"": ""He spends \""most of the afternoon\"" helping his parents coordinate the event and is motivated by not wanting to disappoint them, which shows active care for close family.""}","{""hedonism"": ""He explicitly preserves enjoyment by planning the seafood dinner with Nadia and saying it matters to \""carve out space for the things that make life sweet.\"""", ""conformity"": ""He feels \""calming\"" satisfaction in fitting \""into the role everyone expects\"" and does extra work to avoid becoming \""the source\"" of his mother's disappointment."", ""tradition"": ""He spends the day supporting his parents' 40th anniversary, sits through the formal toasts, and accepts the family ceremony as something worth honoring."", ""benevolence"": ""He devotes the afternoon to helping his parents coordinate the event and takes pride in being \""the reliable one\"" they can count on.""}"
056f46ad__3,056f46ad,3,2025-12-28,1,10,0,"{""achievement"": ""Right after the difficult conversation, he feels glad to be back at work, is focused on the \""Q1 planning meeting,\"" and wants to make sure the Oman route data is \""properly credited,\"" showing strong investment in performance and recognition.""}",0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,1,unanimous,5,false,1,1,1,1,1,0,0,unanimous,5,false,0,0,0,0,0,1,0,unanimous,5,true,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,0,bare_majority,3,true,0,1,0,1,0,0,0,unanimous,5,false,0,0,0,0,0,"{""achievement"": ""Right after the difficult conversation, he feels glad to be back at work, is focused on the \""Q1 planning meeting,\"" and wants to make sure the Oman route data is \""properly credited,\"" showing strong investment in performance and recognition.""}","{""achievement"": ""Even after the holiday, his focus shifts quickly to work: he wants the Q1 planning meeting to go well and wants the Oman route data \""properly credited this time,\"" showing concern with performance and recognition."", ""benevolence"": ""He and Nadia finally talk openly about the fertility issue and jointly decide to pause treatment, showing care and responsiveness within the relationship.""}","{""achievement"": ""After a difficult conversation, he focuses on being 'back at work tomorrow' and wants to make sure the Oman route data is 'properly credited,' showing a quick return to performance, results, and recognition.""}","{""achievement"": ""He is eager to return to work, focuses on the \""Q1 planning meeting,\"" and wants to make sure the Oman route data is \""properly credited,\"" showing a clear concern with performance and recognition."", ""benevolence"": ""He and Nadia \""finally talked about the fertility stuff\"" and agreed to \""take a break from the treatments,\"" reflecting a supportive, relationship-centered response to her distress.""}","{""achievement"": ""Right after the difficult fertility conversation, he focuses on returning to work, the Q1 planning meeting, and making sure the Oman route data is \""properly credited this time,\"" showing concern with performance and recognition.""}"
06f1d745__0,06f1d745,0,2025-12-04,2,10,0,"{""security"": ""He checks the failing water heater, calls the plumber, worries about the replacement cost, and keeps checking it before bed, showing strong concern with household safety and financial stability.""}",0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,1,unanimous,5,false,1,1,1,1,1,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,bare_majority,3,false,1,0,0,1,0,0,0,unanimous,5,false,0,0,0,0,0,"{""security"": ""He repeatedly checks the aging water heater, worries about the delay before the plumber can come, and cannot stop thinking about the risk, showing a strong need to protect household stability."", ""benevolence"": ""He frames the financial stress around Sofia's new shoes and Valentina's graduation fees and reassures Leticia that \""we would figure it out,\"" showing concern for his family's immediate needs.""}","{""security"": ""He checks the failing water heater, calls the plumber, worries about the replacement cost, and keeps checking it before bed, showing strong concern with household safety and financial stability.""}","{""security"": ""He worries repeatedly about the failing heater, the unplanned replacement cost, and family expenses, and says he 'could not stop checking the heater before bed,' showing strong preoccupation with household safety and financial stability.""}","{""security"": ""He keeps checking the heater, worries about the replacement cost, and cannot stop thinking about the risk, showing a strong focus on household safety and financial stability."", ""benevolence"": ""He weighs the heater expense against \""Sofia\"" needing shoes and \""Valentina\"" having graduation fees, showing that his decisions are tied to caring for his family's immediate needs.""}","{""security"": ""He responds to the failing water heater with repeated checking, worry about the cost, and concern over family finances, showing a strong focus on household stability and avoiding threat.""}"
06f1d745__4,06f1d745,4,2025-12-10,1,10,0,"{""stimulation"": ""He rejects the new campus option because he does not want to \""gamble on something looking better from the outside\"" and prefers not to \""start over,\"" showing avoidance of change and uncertainty."", ""security"": ""He repeatedly emphasizes union protections, wanting to \""know what is coming,\"" and choosing to \""stay and wait for more information,\"" which clearly prioritizes safety and predictability.""}",0,0,unanimous,5,false,0,0,0,0,0,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,1,unanimous,5,false,1,1,1,1,1,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,"{""stimulation"": ""He rejects the new campus option because he does not want to \""gamble on something looking better from the outside\"" and prefers not to \""start over,\"" showing avoidance of change and uncertainty."", ""security"": ""He repeatedly emphasizes union protections, wanting to \""know what is coming,\"" and choosing to \""stay and wait for more information,\"" which clearly prioritizes safety and predictability.""}","{""stimulation"": ""He rejects H\u00e9ctor's suggestion because he would rather not \""start over\"" or \""gamble on something looking better from the outside,\"" showing active avoidance of change and uncertainty."", ""security"": ""He prefers the union protections and says \""I stay and I wait for more information,\"" explicitly choosing the safer, more predictable option over a potentially better but less secure move.""}","{""stimulation"": ""He rejects the chance to 'start over at fifty-one' and says he would rather not 'gamble on something looking better from the outside,' showing clear aversion to novelty and uncertainty."", ""security"": ""He emphasizes union protections, says 'at least here I have protections,' and decides to 'stay and wait for more information,' which strongly favors safety, predictability, and risk reduction.""}","{""stimulation"": ""He rejects the satellite-campus option because he does not want \""new administration, new commute\"" and says he would rather not \""gamble on something looking better from the outside,\"" showing active avoidance of change and uncertainty."", ""security"": ""He stays because \""here I have protections\"" and says \""I stay and I wait for more information,\"" which clearly prioritizes safety, predictability, and institutional protection.""}","{""stimulation"": ""He rejects the satellite campus partly because he does not want to start over with a \""new system, new administration, new commute\"" and says he would rather not \""gamble on something looking better from the outside.\"""", ""security"": ""He repeatedly chooses protections and predictability, stressing tenure, the union, and that \""at least here I have protections,\"" then decides to stay and wait for more information because he is \""being careful.\""""}"
075f8fdb__0,075f8fdb,0,2025-01-07,2,10,0,"{""self_direction"": ""They are already googling \""environmental education programs hiring abroad\"" because the stable school role feels constraining, showing a pull toward choosing their own path."", ""stimulation"": ""The Mekong trip involved \""river sampling, village visits, and improvised lessons,\"" and they say it made them feel \""more awake than I have in months,\"" showing strong engagement with novelty and challenge."", ""security"": ""They explicitly struggle to feel grateful for \""the stability of this position\"" and are drawn toward leaving it, treating predictability as stifling rather than reassuring."", ""conformity"": ""The return to \""faculty meeting\"" talk about timelines and decoration guidelines makes them feel \""the walls closing in,\"" showing resistance to institutional expectations and routine constraints."", ""universalism"": ""The most meaningful moment centers on students asking fishermen about environmental changes during water-quality testing, reflecting concern with broader ecological and community issues.""}",1,1,unanimous,5,false,1,1,1,1,1,1,1,unanimous,5,false,1,1,1,1,1,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1,-1,-1,strong,4,false,0,-1,-1,-1,-1,0,0,unanimous,5,false,0,0,0,0,0,0,0,unanimous,5,false,0,0,0,0,0,1,1,unanimous,5,false,1,1,1,1,1,"{""self_direction"": ""They are already googling \""environmental education programs hiring abroad\"" because the stable faculty routine makes them feel like \""the walls closing in,\"" showing a pull toward choosing their own path."", ""stimulation"": ""The Mekong trip is described as making them feel \""more awake than I have in months,\"" and they dread returning to predictable meetings and classroom routines."", ""security"": ""They explicitly resist the \""stability of this position\"" and feel most alive in physically taxing, uncertain fieldwork rather than in a safe, predictable role."", ""universalism"": ""The entry centers on river sampling, water quality, and listening to fishermen about environmental changes, showing concern for the wider human and ecological world.""}","{""self_direction"": ""They are already googling \""environmental education programs hiring abroad\"" because the stable school role feels constraining, showing a pull toward choosing their own path."", ""stimulation"": ""The Mekong trip involved \""river sampling, village visits, and improvised lessons,\"" and they say it made them feel \""more awake than I have in months,\"" showing strong engagement with novelty and challenge."", ""security"": ""They explicitly struggle to feel grateful for \""the stability of this position\"" and are drawn toward leaving it, treating predictability as stifling rather than reassuring."", ""conformity"": ""The return to \""faculty meeting\"" talk about timelines and decoration guidelines makes them feel \""the walls closing in,\"" showing resistance to institutional expectations and routine constraints."", ""universalism"": ""The most meaningful moment centers on students asking fishermen about environmental changes during water-quality testing, reflecting concern with broader ecological and community issues.""}","{""self_direction"": ""They are already \""googling 'environmental education programs hiring abroad'\"" instead of settling for the stable role, showing a pull toward choosing their own path."", ""stimulation"": ""The trip involved \""river sampling, village visits, and improvised lessons,\"" and they say it made them feel \""more awake than I have in months,\"" showing clear aliveness through novelty and challenge."", ""security"": ""They admit they \""should be grateful for the stability of this position\"" but feel trapped by it and want to leave that predictability behind."", ""conformity"": ""They recoil from the return to \""faculty meeting[s]\"" about timelines and decoration guidelines, framing those institutional expectations as suffocating rather than something to accommodate."", ""universalism"": ""The session centers on environmental fieldwork and students asking fishermen about changes over time, showing engagement with ecological conditions and the wider community beyond the classroom.""}","{""self_direction"": ""They are already \""googling 'environmental education programs hiring abroad'\"" instead of settling for the stable teaching post, showing a pull toward choosing their own path."", ""stimulation"": ""The Mekong trip involved \""river sampling, village visits, and improvised lessons,\"" and they say it made them feel \""more awake than I have in months,\"" showing clear pursuit of challenge and novelty."", ""security"": ""They admit they \""should be grateful for the stability of this position\"" but feel the \""walls closing in\"" and want something less predictable, which conflicts with prioritizing safety and stability."", ""conformity"": ""They contrast the trip's spontaneity with \""exam preparation timelines and classroom decoration guidelines\"" and feel suffocated by those expectations, showing resistance to institutional norms."", ""universalism"": ""The entry centers on environmental fieldwork and students asking fishermen about changes over time, reflecting concern for the broader human and ecological world beyond the classroom.""}","{""self_direction"": ""He is already googling \""environmental education programs hiring abroad\"" because the current role makes him feel \""the walls closing in,\"" showing a pull toward choosing his own path over staying put."", ""stimulation"": ""The Mekong trip left him \""more awake than I have in months,\"" and he contrasts fieldwork and spontaneous curiosity with deadening routine at school."", ""security"": ""He says he \""should be grateful for the stability of this position\"" but is drawn away from it and fears that if he \""stay[s] still too long\"" he will lose what makes him feel alive."", ""conformity"": ""He reacts negatively to \""faculty meeting[s]\"" about timelines and decoration guidelines, framing institutional expectations as suffocating rather than something to go along with."", ""universalism"": ""The entry centers on river sampling, listening to local fishermen about environmental change, and valuing education tied to real ecological conditions beyond his immediate circle.""}"
