left_pass_index,right_pass_index,left_pass_name,right_pass_name,raw_hash_match,score_hash_match,differing_entry_vectors,identical_entry_vectors
1,2,pass_1,pass_2,false,false,28,22
1,3,pass_1,pass_3,false,false,25,25
1,4,pass_1,pass_4,false,false,30,20
1,5,pass_1,pass_5,false,false,27,23
2,3,pass_2,pass_3,false,false,22,28
2,4,pass_2,pass_4,false,false,18,32
2,5,pass_2,pass_5,false,false,23,27
3,4,pass_3,pass_4,false,false,21,29
3,5,pass_3,pass_5,false,false,14,36
4,5,pass_4,pass_5,false,false,21,29
